MatchId;HomeTeam;HomeTeamId;VisitTeam;VisitTeamId;MapName;ScheduleDate;StatsId;Map;Rounds;Duration;DamageRED;FragsRED;DamageBLU;FragsBLU;ScoreRED;ScoreBLU;ScoresBLU;RoundTimes
39753;illusion of Murder;9726;Snappers&Jellybeans;9251;koth_coalplant_b7;2014-02-17 00:00:00;156930;koth_coalplant_b7;2;489;9629;39;8387;26;2;0;0|0;263|226
39753;illusion of Murder;9726;Snappers&Jellybeans;9251;koth_coalplant_b7;2014-02-17 00:00:00;156908;koth_coalplant_b7;4;1369;44963;150;48482;166;1;3;1|1|0|1;260|317|467|325
39754;Hail to the Knights;5257;Restaurante De Wesker;5154;koth_coalplant_b7;2014-02-17 00:00:00;156955;koth_coalplant_b7;1;302;11234;42;8978;25;1;0;0;302
39754;Hail to the Knights;5257;Restaurante De Wesker;5154;koth_coalplant_b7;2014-02-17 00:00:00;156909;koth_coalplant_b7;4;2101;55071;186;58328;193;1;3;0|1|1|1;449|837|405|410
39806;Roadside Brewery;9133;FinGin Ja Pojat;6603;koth_coalplant_b7;2014-02-17 00:00:00;159464;koth_coalplant_b7;2;797;15068;55;15382;47;1;1;0|1;393|404
39806;Roadside Brewery;9133;FinGin Ja Pojat;6603;koth_coalplant_b7;2014-02-17 00:00:00;159462;koth_coalplant_b7;3;894;33477;126;25673;69;3;0;0|0|0;297|309|288
39815;The Bears;9590;Harbingers of Aphrodite	;8857;koth_coalplant_b7;2014-02-17 00:00:00;156776;koth_coalplant_b7;3;1198;42766;172;38323;118;3;0;0|0|0;444|372|382
39830;Smokin' Trees and Strokin 3's;9398;Bumblesquad;8835;koth_coalplant_b7;2014-02-17 00:00:00;157112;koth_coalplant_b7;1;410;13913;47;14699;50;0;1;1;410
39830;Smokin' Trees and Strokin 3's;9398;Bumblesquad;8835;koth_coalplant_b7;2014-02-17 00:00:00;157039;koth_coalplant_b7;3;1087;37075;117;40024;133;0;3;1|1|1;404|345|338
39831;Tree Forest 2;9408;brave;9130;koth_coalplant_b7;2014-02-17 00:00:00;157202;koth_coalplant_b7;2;827;31794;92;30693;110;0;2;1|1;443|384
39831;Tree Forest 2;9408;brave;9130;koth_coalplant_b7;2014-02-17 00:00:00;157076;koth_coalplant_b7;5;1752;65310;211;61405;203;2;3;1|0|0|1|1;404|307|269|415|357
